Hisse Kodu,Hisse Adı,Şehir
HURGZ,HÜRRİYET GAZETECİLİK VE MATBAACILIK A.Ş.,İSTANBUL
ICUGS,ICU GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,İZMİR
IDGYO,İDEALİST GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
IEYHO,IŞIKLAR ENERJİ VE YAPI HOLDİNG A.Ş.,İSTANBUL
IHAAS,İHLAS HABER AJANSI A.Ş.,İSTANBUL
IHEVA,İHLAS EV ALETLERİ İMALAT SANAYİ VE TİCARET A.Ş.,İSTANBUL
IHGZT,İHLAS GAZETECİLİK A.Ş.,İSTANBUL
IHLAS,İHLAS HOLDİNG A.Ş.,İSTANBUL
IHLGM,İHLAS GAYRİMENKUL PROJE GELİŞTİRME VE TİCARET A.Ş.,İSTANBUL
IHYAY,İHLAS YAYIN HOLDİNG A.Ş.,İSTANBUL
IMASM,İMAŞ MAKİNA SANAYİ A.Ş.,KONYA
INDES,İNDEKS BİLGİSAYAR SİSTEMLERİ MÜHENDİSLİK SANAYİ VE TİCARET A.Ş.,İSTANBUL
INFO,İNFO YATIRIM MENKUL DEĞERLER A.Ş.,İSTANBUL
INGRM,INGRAM MİCRO BİLİŞİM SİSTEMLERİ A.Ş.,İSTANBUL
INTEK,İNNOSA TEKNOLOJİ A.Ş.,İSTANBUL
INTEM,İNTEMA İNŞAAT VE TESİSAT MALZEMELERİ YATIRIM VE PAZARLAMA A.Ş.,İSTANBUL
INVEO,INVEO YATIRIM HOLDİNG A.Ş.,İSTANBUL
INVES,INVESTCO HOLDİNG A.Ş.,İSTANBUL
IPEKE,İPEK DOĞAL ENERJİ KAYNAKLARI ARAŞTIRMA VE ÜRETİM A.Ş.,ANKARA
ISATR,TÜRKİYE İŞ BANKASI A.Ş.,İSTANBUL
ISBIR,İŞBİR HOLDİNG A.Ş.,ANKARA
ISDMR,İSKENDERUN DEMİR VE ÇELİK A.Ş.,HATAY
ISFIN,İŞ FİNANSAL KİRALAMA A.Ş.,İSTANBUL
ISGSY,İŞ GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
ISGYO,İŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,İSTANBUL
ISKPL,IŞIK PLASTİK SANAYİ VE DIŞ TİCARET PAZARLAMA A.Ş.,İSTANBUL
ISMEN,İŞ YATIRIM MENKUL DEĞERLER A.Ş.,İSTANBUL
ISSEN,İŞBİR SENTETİK DOKUMA SANAYİ A.Ş.,BALIKESİR
IZENR,İZDEMİR ENERJİ ELEKTRİK ÜRETİM A.Ş.,İZMİR
IZFAS,İZMİR FIRÇA SANAYİ VE TİCARET A.Ş.,İZMİR
IZINV,İZ YATIRIM HOLDİNG A.Ş.,İSTANBUL
IZMDC,İZMİR DEMİR ÇELİK SANAYİ A.Ş.,İZMİR
JANTS,JANTSA JANT SANAYİ VE TİCARET A.Ş.,AYDIN
KAPLM,KAPLAMİN AMBALAJ SANAYİ VE TİCARET A.Ş.,İZMİR
KAREL,KAREL ELEKTRONİK SANAYİ VE TİCARET A.Ş.,İSTANBUL
KARSN,KARSAN OTOMOTİV SANAYİİ VE TİCARET A.Ş.,BURSA
KARTN,KARTONSAN KARTON SANAYİ VE TİCARET A.Ş.,İSTANBUL
KARYE,KARTAL YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.,İSTANBUL
KATMR,KATMERCİLER ARAÇ ÜSTÜ EKİPMAN SANAYİ VE TİCARET A.Ş.,İZMİR
KAYSE,KAYSERİ ŞEKER FABRİKASI A.Ş.,KAYSERİ
KBORU,KUZEY BORU A.Ş.,AKSARAY
KCAER,KOCAER ÇELİK SANAYİ VE TİCARET A.Ş.,DENİZLİ
KCHOL,KOÇ HOLDİNG A.Ş.,İSTANBUL
KENT,KENT GIDA MADDELERİ SANAYİİ VE TİCARET A.Ş.,KOCAELİ
KERVT,KEREVİTAŞ GIDA SANAYİ VE TİCARET A.Ş.,İSTANBUL
